subj	trial	chimera	identity	orientation	rt	acc	group
1	125	R_R	other	inverted	784.9	1	cp
1	126	R_L	other	inverted	583.7	1	cp
1	127	L_L	self	inverted	593.9	1	cp
1	128	L_L	other	inverted	603.8	1	cp
1	129	R_R	other	inverted	523.5	1	cp
1	130	L_L	other	inverted	583.7	1	cp
1	131	L_L	self	inverted	583.9	0	cp
1	132	R_L	self	inverted	674.2	1	cp
1	133	R_R	self	inverted	453.2	1	cp
1	134	R_R	self	inverted	603.8	1	cp
1	135	L_L	other	inverted	824.9	1	cp
1	136	L_R	self	inverted	694.3	1	cp
1	137	R_L	other	inverted	704.4	1	cp
1	138	R_L	other	inverted	664	1	cp
1	139	R_R	self	inverted	885.1	1	cp
1	140	L_R	other	inverted	814.7	1	cp
1	141	L_R	self	inverted	584	1	cp
1	142	L_L	other	inverted	603.7	1	cp
1	143	R_L	other	inverted	794.7	1	cp
1	144	R_L	other	inverted	895.4	1	cp
1	145	L_R	other	inverted	674.2	1	cp
1	146	L_L	self	inverted	523.5	1	cp
1	147	R_R	other	inverted	633.8	1	cp
1	148	L_R	other	inverted	704.6	1	cp
1	149	L_L	other	inverted	754.6	1	cp
1	150	R_R	self	inverted	603.7	0	cp
1	151	R_R	self	inverted	603.8	1	cp
1	152	R_L	self	inverted	473.2	1	cp
1	153	L_L	other	inverted	362.8	0	cp
1	154	R_R	self	inverted	583.9	1	cp
1	155	L_L	other	inverted	734.7	1	cp
1	156	L_R	other	inverted	905.2	1	cp
1	157	L_R	other	inverted	875	1	cp
1	158	R_R	self	inverted	513.4	1	cp
1	159	L_R	self	inverted	674.4	1	cp
2	1	R_R	other	inverted	664.2	1	cg
2	2	L_L	self	inverted	875.1	1	cg
2	3	L_L	other	inverted	784.7	1	cg
2	4	L_R	self	inverted	564.2	1	cg
2	5	R_R	other	inverted	593.8	1	cg
2	6	L_R	self	inverted	593.9	1	cg
2	7	R_L	other	inverted	694.3	1	cg
2	8	L_L	other	inverted	744.6	1	cg
2	9	R_L	other	inverted	724.9	1	cg
2	10	R_L	other	inverted	905.4	1	cg
2	11	L_L	other	inverted	583.9	1	cg
2	12	L_L	other	inverted	714.6	1	cg
2	13	L_L	other	inverted	634.4	1	cg
2	14	L_R	other	inverted	533.5	0	cg
2	15	R_L	other	inverted	553.7	1	cg
2	16	L_R	other	inverted	654.7	1	cg
2	17	R_L	self	inverted	523.6	1	cg
2	18	R_L	self	inverted	664.5	1	cg
2	19	R_R	self	inverted	493.3	1	cg
2	20	R_L	other	inverted	634.1	1	cg
2	21	L_L	other	inverted	473.8	1	cg
2	22	L_R	self	inverted	543.7	1	cg
2	23	L_R	other	inverted	614	1	cg
2	24	R_L	self	inverted	543.6	1	cg
2	25	L_L	self	inverted	543.5	1	cg
2	26	R_R	other	inverted	714.5	1	cg
2	27	L_L	self	inverted	443.1	1	cg
2	28	L_R	other	inverted	563.8	1	cg
2	29	R_R	self	inverted	563.7	1	cg
2	30	L_R	other	inverted	574.3	1	cg
2	31	L_R	other	inverted	543.7	1	cg
2	32	L_L	other	inverted	523.5	1	cg
2	33	R_L	other	inverted	433.1	1	cg
2	34	L_R	self	inverted	664.2	1	cg
2	35	R_L	self	inverted	523.5	1	cg
2	36	R_R	self	inverted	754.7	1	cg
2	37	L_L	self	inverted	694.3	1	cg
2	38	L_R	other	inverted	603.9	1	cg
2	39	L_R	self	inverted	433	1	cg
2	40	R_R	self	inverted	754.8	1	cg
2	41	R_L	self	inverted	533.5	0	cg
2	42	L_L	self	inverted	644.1	1	cg
2	43	L_R	self	inverted	433.1	1	cg
2	44	R_R	self	inverted	453.1	1	cg
2	45	L_L	other	inverted	372.7	0	cg
2	46	R_R	self	inverted	573.7	1	cg
2	47	R_L	self	inverted	433.2	1	cg
2	48	L_R	other	inverted	533.6	1	cg
2	49	L_R	other	inverted	493.4	1	cg
2	50	L_R	self	inverted	664.2	1	cg
2	51	R_R	self	inverted	634.1	0	cg
2	52	R_L	other	inverted	875.3	1	cg
2	53	L_R	self	inverted	644.2	1	cg
2	54	R_L	self	inverted	634.4	1	cg
2	55	L_L	other	inverted	754.6	1	cg
2	56	L_L	self	inverted	674.3	1	cg
2	57	R_R	self	inverted	473.3	1	cg
2	58	R_R	other	inverted	563.7	1	cg
2	59	L_L	self	inverted	543.7	1	cg
2	60	L_L	self	inverted	503.4	1	cg
2	61	R_R	other	inverted	804.9	1	cg
2	62	L_R	self	inverted	503.5	1	cg
2	63	R_L	self	inverted	553.7	1	cg
2	64	R_R	other	inverted	573.8	1	cg
2	65	R_R	other	inverted	553.9	1	cg
2	66	R_L	other	inverted	493.4	1	cg
2	67	R_R	other	inverted	533.7	1	cg
2	68	L_R	self	inverted	553.9	1	cg
2	69	R_L	other	inverted	634.1	1	cg
2	70	R_L	self	inverted	463.7	1	cg
2	71	R_L	self	inverted	443.3	1	cg
2	72	L_R	other	inverted	543.7	1	cg
2	73	L_L	self	inverted	543.6	1	cg
2	74	R_R	self	inverted	543.8	1	cg
2	75	L_L	other	inverted	563.7	1	cg
2	76	R_L	other	inverted	613.9	1	cg
2	77	R_R	self	inverted	594	1	cg
2	78	R_R	other	inverted	473.2	0	cg
2	79	L_L	self	inverted	634	1	cg
2	80	R_R	other	inverted	664.2	1	cg
2	81	R_L	self	upright	533.6	1	cg
2	82	R_L	other	upright	563.6	1	cg
2	83	R_L	self	upright	453	1	cg
2	84	R_L	other	upright	644.1	1	cg
2	85	L_L	self	upright	503.6	1	cg
2	86	R_R	self	upright	463.3	1	cg
2	87	L_R	self	upright	845.1	1	cg
2	88	L_L	self	upright	433.1	1	cg
2	89	L_R	self	upright	503.4	1	cg
2	90	L_R	other	upright	513.5	1	cg
2	91	L_R	self	upright	553.7	1	cg
2	92	L_L	self	upright	533.6	1	cg
2	93	L_R	other	upright	503.4	1	cg
2	94	L_R	self	upright	533.5	1	cg
2	95	L_L	self	upright	503.4	1	cg
2	96	R_L	self	upright	453.5	0	cg
2	97	L_L	other	upright	875.3	1	cg
2	98	R_L	other	upright	573.8	1	cg
2	99	R_R	other	upright	503.5	1	cg
2	100	L_R	self	upright	483.8	1	cg
2	101	L_R	other	upright	553.7	1	cg
2	102	R_R	other	upright	463.6	1	cg
2	103	R_R	other	upright	533.5	1	cg
2	104	L_L	self	upright	513.4	1	cg
2	105	L_R	other	upright	473.2	1	cg
2	106	L_R	other	upright	523.8	1	cg
2	107	L_L	other	upright	503.5	1	cg
2	108	L_R	self	upright	594	1	cg
2	109	R_L	self	upright	523.7	1	cg
2	110	L_L	other	upright	604.6	1	cg
2	111	R_R	self	upright	483.3	1	cg
2	112	R_R	other	upright	533.5	1	cg
2	113	R_R	self	upright	513.4	1	cg
